id	word	readings	meanings
1010150	はっきり;ハッキリ	はっきり;ハッキリ	"clearly;plainly;distinctly
to be clear;to be definite;to be certain;to be exact;to become clear;to clear up"
1351360	笑う;咲う;嗤う	わらう	"to laugh
to smile
to sneer;to ridicule
to be dumbfounded;to be flabbergasted"
1395660	全体	ぜんたい	whole;entirety;whatever (is the matter)
1362810	深夜	しんや	late at night
1222400	気絶	きぜつ	faint;swoon
1445790	倒れる;斃れる;仆れる;殪れる	たおれる	"to fall;to collapse;to drop;to fall senseless
to be forced to bed (by illness, etc.)
to die
to go bankrupt;to be ruined;to have a bad debt
to be defeated (in a game)
to fall (of governments, dictators, etc.)"
1349380	床;牀	ゆか	"floor
stage (for the narrator and the shamisen player)
dining platform built across a river"
2668870	人造石	じんぞうせき	artificial stone;fake rock
1088270	ドタン	どたん	thud
1351560	衝突	しょうとつ	"collision;crash;running into
conflict;quarrel;clashing"
1364060	真正面	ましょうめん	directly opposite;right in front
1366770	人間	にんげん	"human being;person;man;mankind;humankind
character (of a person)"
2011580	真っ黒い	まっくろい	pitch black;deep black
1582200	途中	とちゅう	"on the way;en route
in the middle of;midway"
1457030	突進	とっしん	rush;charge
1560670	廊下	ろうか	corridor;hallway;passageway
1983740	通ずる	つうずる	"to be open (to traffic);to lead to;to communicate (with)
to flow (liquid, current);to pass;to get through to
to be understood;to be comprehended
to be honored;to be good
to be well versed in;to be well-informed
to communicate clandestinely;to keep in touch (e.g. with the enemy)
to form a liaison;to be intimate"
1485350	飛び出す;飛びだす;飛出す;跳び出す;跳びだす	とびだす	"to jump out;to rush out;to fly out
to appear (suddenly)
to protrude;to project
to butt in"
1598860	飛び下りる;飛び降りる;跳び降りる;飛降りる	とびおりる	to jump down;to jump off;to jump from;to jump out of
1580570	寝台	しんだい;ねだい	bed;couch
1547660	裸足;跣;跣足	はだし;せんそく	"barefoot
superior to (a professional, etc. in ability or achievement)"
1333440	蹴飛ばす;蹴とばす	けとばす	"to kick away;to kick off;to kick hard
to refuse curtly;to reject outright"
1333310	襲いかかる;襲い掛かる;襲い掛る	おそいかかる	to rush on;to attack;to swoop down on
1254340	決心	けっしん	determination;resolution
1457040	突然	とつぜん	abrupt;sudden;unexpected;all at once
1586840	或;或る	ある	a certain ...;some ...
1239160	凝視	ぎょうし	stare;gaze;fixation
1005870	凝乎と	じっと;じーっと;じーと;じいっと	"motionlessly (e.g. stand, wait);(be) still
fixedly (e.g. gaze, stare);intently (e.g. listen, think)
patiently (endure);stoically
firmly (e.g. hold);restrained"
1205590	核心	かくしん	core;heart (of the matter);point;crux;kernel
2386360	分間	ふんかん	minutes (period of)
1324320	若しくは	もしくは	or;otherwise
1490430	秒	びょう	second (60th min)
1771770	増配	ぞうはい	increased ration;increased dividend
1577980	居る	いる	"to be (of animate objects);to exist
to stay
verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing)"
1524930	又;亦;復	また	again;and;also;still (doing something)
1236690	恐ろしい;怖ろしい	おそろしい	"terrible;dreadful;terrifying;frightening;frightened
surprising;startling;tremendous;amazing"
1573370	躊躇	ちゅうちょ	hesitation;indecision;vacillation
1479480	半身	はんしん	half the body;half length
1154370	暗闇;暗やみ	くらやみ	darkness;the dark
1470840	覗く;覘く;窺く;臨く	のぞく	"to peek (though a keyhole, gap, etc.)
to look down into (a ravine, etc.)
to peek into (a shop, bookstore, etc.)
to sneak a look at;to take a quick look at
to peep (through a telescope, microscope, etc.)
to stick out (a scarf from a collar, etc.);to peek through (sky through a forest canopy, etc.)
to face"
1555830	隣;隣り;鄰	となり	neighbor (neighbour);next to (esp. living next door to)
1010430	ぱっちり	ぱっちり	(of eyes) big and beautiful, or open wide
1206070	覚める;醒める	さめる	"to wake;to wake up
to become sober;to sober up;to regain consciousness (e.g. after anaesthesia)
to come to one's senses;to be disillusioned"
1604890	目;眼	め	"eye;eyeball
eyesight;sight;vision
look;stare;glance
an experience
viewpoint
stitch;texture;weave
ordinal number suffix
somewhat;-ish"
1429650	跳ね起きる	はねおきる	to jump up;to spring up
1600290	伸ばす;延ばす	のばす	"to grow long (e.g. hair, nails)
to lengthen;to extend;to stretch
to reach out;to hold out
to straighten;to smooth out
to spread evenly (dough, cream, etc.)
to dilute;to thin out
to postpone
to prolong
to strengthen;to develop;to expand"
1377750	正反対	せいはんたい	bipolar;polar;polarity;exactly opposite
1588330	映す	うつす	to project;to reflect;to cast (shadow)
1238550	鏡	かがみ	"mirror;looking-glass
barrel head"
1792910	寝姿	ねすがた	one's figure during sleep
2783700	寝	ぬ	to lie down;to go to bed;to go to sleep
2267340	もう一人;もう１人	もうひとり	another (person);the other person;one more (person)
2101930	がばっと;がばと;がはと;かばと	がばっと;がばと;がはと;かばと	suddenly;all of a sudden;quickly;emphatically;energetically
1006790	そっくり	そっくり	"all;altogether;entirely;completely
exactly like;just like"
1429170	調子	ちょうし	"tune;tone;key;pitch;time;rhythm
vein;mood;way;manner;style;knack
condition;state of health
impetus;spur of the moment;strain
trend"
1010900	ぴったり;ピッタリ;ぴたり;ピタリ;ぴったし;ピッタシ	ぴったり;ピッタリ;ぴたり;ピタリ;ぴったし;ピッタシ	"tightly;closely
exactly;precisely
suddenly (stopping)
perfectly (suited);ideally"
1360190	寝息	ねいき	sleeper's breathing
1604800	向かう;向う;対う	むかう	"to face
to go towards;to head towards"
1751730	壁一重	かべひとえ	single wall
1548650	落下	らっか	fall;drop;coming down
1583460	描く;画く	えがく;かく	"to draw;to paint;to sketch
to depict;to describe
to picture in one's mind;to imagine
to form a certain shape (e.g. path of an action, appearance of an object, etc.)"
1516870	放物線;抛物線	ほうぶつせん	parabola
1642340	無窮	むきゅう	eternity;infinitude;immortality
1316120	時空	じくう	space-time
1529880	無限	むげん	"infinity;infinitude;eternity
infinite;limitless"
1242170	近づく;近付く	ちかづく;ちかずく	"to approach;to draw near;to get close
to get acquainted with;to get closer to;to get to know"
1557630	零	れい;ぜろ;ゼロ	zero;nought
1516990	方向	ほうこう	"direction;orientation;bearing;way
course (e.g. of action)"
1004160	ぐんぐん	ぐんぐん	steadily
1156640	意識	いしき	"consciousness
awareness;sense
mano-vijnana (mental consciousness, cognizer of sensory information)"
1529330	眠い;睡い	ねむい	sleepy;drowsy;somnolent
1483740	疲れる	つかれる	"to get tired;to tire
to be worn out (e.g. of well used objects)
to starve"
1529390	眠る;睡る	ねむる;ねぶる	"to sleep (not necessarily lying down)
to die
to lie idle (e.g. of resources);to be dormant;to be unused
to close one's eyes"
1006230	すやすや	すやすや	sleeping peacefully;sleeping quietly;sleeping soundly
1007230	たった	たった	only;merely;but;no more than
1277100	向ける	むける	to turn towards;to point
1509290	壁	かべ;へき	"wall;partition
barrier;obstacle
Chinese ""Wall"" constellation (one of the 28 mansions)"
1006000	じりじり;ジリジリ;ぢりぢり;ヂリヂリ	じりじり;ジリジリ;ぢりぢり;ヂリヂリ	"slowly (but steadily);gradually;bit-by-bit
irritatedly;impatiently
scorchingly (of the sun)
sizzling (i.e. sound of frying in oil)
sound of a warning bell, alarm clock, etc.
oozing out (oil, sweat, etc.);seeping out"
1236030	境目	さかいめ	borderline;boundary
1758000	隣室	りんしつ	next or adjoining room
1734270	宿直室	しゅくちょくしつ	night duty room
1296400	有る;在る	ある	"to be (usu. of inanimate objects);to exist;to live
to have
to be located
to be equipped with
to happen;to come about"
1424550	中心	ちゅうしん	"center;centre;middle;heart;core;focus;pivot;emphasis;balance
-centered;-centred;-focussed;-oriented;centered on;focussed on"
1316220	時刻;時剋	じこく	instant;time;moment
1431670	沈む	しずむ	"to sink;to go under;to submerge
to go down (e.g. sun);to set;to descend
to feel depressed"
1169350	引っかかる;引っ掛かる;引っ掛る	ひっかかる	"to be caught in;to be stuck in
to stop by;to drop in for a short visit;to be delayed;to take time
to get mixed up in (trouble);to get entangled in (a problem);to be involved with
to fall for (a trick);to be deceived;to be cheated
to be on one's mind;to worry one;to be bothered by;to feel uneasy
to be obstructed;to be hindered
to splash"
1263090	弦月	げんげつ	crescent moon
1295510	細い	ほそい	"thin;slender;fine
unlucky (billiards slang)"
2098610	封ずる	ふうずる	"to seal (letter)
to prevent;to forbid;to block"
1586920	暗黒;闇黒	あんこく	darkness
1395620	全然	ぜんぜん	"not at all (with neg. verb)
wholly;entirely;completely"
1508590	閉める	しめる	to close;to shut
1307100	四角い	しかくい	square;rectangular
1232180	巨大	きょだい	huge;gigantic;enormous
